capability,status,evidence_files,notes
signal_digest_or_fingerprint,REUSE_UNCHANGED,ultimate_pipeline\roadrunner\models.py
semantic_inventory,REUSE_UNCHANGED,phase_q\semantic_evidence.py
osm_crossing_extraction,REUSE_UNCHANGED,ultimate_pipeline\tools\phase_h0_osm_signal_extract.py
osm_road_matching,REUSE_UNCHANGED,ultimate_pipeline\tools\phase_h1_osm_road_match.py
signal_writing,REUSE_UNCHANGED,ultimate_pipeline\tools\phase_h2_signal_writer.py
crosswalk_writing,NO_EXISTING_CAPABILITY,
object_writing,REUSE_UNCHANGED,phase_q\governed_payload.py; submission\infrastructure\ultimate_pipeline\carla_tools\spawn_enrichments.py; submission\infrastructure\ultimate_pipeline\config\settings.py; submission\infrastructure\ultimate_pipeline\core\xodr_lightener.py; submission\infrastructure\ultimate_pipeline\domain_gap\object_density_gap.py; submission\infrastructure\ultimate_pipeline\enrichment\building_extruder.py; submission\infrastructure\ultimate_pipeline\enrichment\regulatory_sign_writer.py; submission\infrastructure\ultimate_pipeline\enrichment\traffic_light_infer.py; submission\infrastructure\ultimate_pipeline\main_pipeline.py; ultimate_pipeline\carla_tools\spawn_enrichments.py; ultimate_pipeline\config\settings.py; ultimate_pipeline\core\xodr_lightener.py; ultimate_pipeline\domain_gap\object_density_gap.py; ultimate_pipeline\enrichment\building_extruder.py; ultimate_pipeline\enrichment\regulatory_sign_writer.py; ultimate_pipeline\enrichment\traffic_light_infer.py; ultimate_pipeline\main_pipeline.py
pedestrian_classification,REUSE_UNCHANGED,phase_q\actor_binding.py; phase_q\certifier_validation.py; phase_q\label_ontology.py; phase_q\resource_profiles.py; phase_q\semantic_evidence.py; phase_q\semantic_policy.py; phase_q\signal_digest.py; phase_q\spawn_nav_gate.py; submission\infrastructure\ultimate_pipeline\carla_tools\actor_stream_manager.py; submission\infrastructure\ultimate_pipeline\carla_tools\carla_sim_consolidated.py; submission\infrastructure\ultimate_pipeline\carla_tools\fixed_traffic_manager.py; submission\infrastructure\ultimate_pipeline\carla_tools\qa_tile_spawn_probe.py; submission\infrastructure\ultimate_pipeline\domain_gap_gnn\graph_builder.py; submission\infrastructure\ultimate_pipeline\enrichment\lane_generator.py; submission\infrastructure\ultimate_pipeline\enrichment\sidewalk_builder.py; submission\infrastructure\ultimate_pipeline\enrichment\speed_limit_writer.py; submission\infrastructure\ultimate_pipeline\enrichment\street_furniture_rules.py; submission\infrastructure\ultimate_pipeline\lanes\lane_repair.py; submission\infrastructure\ultimate_pipeline\llm\llm_safety_assistant.py; submission\infrastructure\ultimate_pipeline\main_pipeline.py; submission\infrastructure\ultimate_pipeline\pipeline_stages\stage_07_lanes.py; submission\infrastructure\ultimate_pipeline\quality\check_physics_feasibility.py; submission\infrastructure\ultimate_pipeline\quality\check_semantic_overlap.py; submission\infrastructure\ultimate_pipeline\quality\lane_width_invariants.py; submission\infrastructure\ultimate_pipeline\semantics\semantic_mapper.py; submission\infrastructure\ultimate_pipeline\tests\unit\test_osm_meta_index.py; submission\infrastructure\ultimate_pipeline\tools\verify_final_xodr.py; submission\infrastructure\ultimate_pipeline\visualization\cross_section_visualizer.py; ultimate_pipeline\carla_tools\actor_stream_manager.py; ultimate_pipeline\carla_tools\carla_sim_consolidated.py; ultimate_pipeline\carla_tools\fixed_traffic_manager.py; ultimate_pipeline\carla_tools\qa_tile_spawn_probe.py; ultimate_pipeline\contracts\release_profile.py; ultimate_pipeline\domain_gap_gnn\graph_builder.py; ultimate_pipeline\enrichment\lane_generator.py; ultimate_pipeline\enrichment\semantic_partition.py; ultimate_pipeline\enrichment\sidewalk_builder.py; ultimate_pipeline\enrichment\speed_limit_writer.py; ultimate_pipeline\enrichment\street_furniture_rules.py; ultimate_pipeline\lanes\lane_repair.py; ultimate_pipeline\llm\llm_safety_assistant.py; ultimate_pipeline\main_pipeline.py; ultimate_pipeline\pipeline_stages\stage_07_lanes.py; ultimate_pipeline\quality\check_physics_feasibility.py; ultimate_pipeline\quality\check_semantic_overlap.py; ultimate_pipeline\quality\lane_width_invariants.py; ultimate_pipeline\semantics\semantic_mapper.py; ultimate_pipeline\tests\test_stage_d0.py; ultimate_pipeline\tests\unit\test_osm_meta_index.py; ultimate_pipeline\tests\unit\test_topology_validation.py; ultimate_pipeline\tools\phase_g1_lane_inventory.py; ultimate_pipeline\tools\phase_g3_cross_section.py; ultimate_pipeline\tools\phase_g4_lane_continuity.py; ultimate_pipeline\tools\phase_g5_lane_classification.py; ultimate_pipeline\tools\phase_g6_junction_lanelinks.py; ultimate_pipeline\tools\phase_h0_osm_signal_extract.py; ultimate_pipeline\tools\phase_m_mandatory_tests.py; ultimate_pipeline\tools\verify_final_xodr.py; ultimate_pipeline\visualization\cross_section_visualizer.py
sidewalk_writing,REUSE_UNCHANGED,phase_q\certifier_validation.py; phase_q\label_ontology.py; phase_q\semantic_evidence.py; phase_q\semantic_policy.py; phase_q\spawn_nav_gate.py; submission\infrastructure\ultimate_pipeline\carla_tools\actor_stream_manager.py; submission\infrastructure\ultimate_pipeline\domain_gap_gnn\graph_builder.py; submission\infrastructure\ultimate_pipeline\enrichment\sidewalk_builder.py; submission\infrastructure\ultimate_pipeline\enrichment\street_furniture_rules.py; submission\infrastructure\ultimate_pipeline\lanes\lane_repair.py; submission\infrastructure\ultimate_pipeline\main_pipeline.py; submission\infrastructure\ultimate_pipeline\pipeline_stages\stage_07_lanes.py; submission\infrastructure\ultimate_pipeline\quality\check_physics_feasibility.py; submission\infrastructure\ultimate_pipeline\quality\check_semantic_overlap.py; submission\infrastructure\ultimate_pipeline\quality\lane_width_invariants.py; submission\infrastructure\ultimate_pipeline\semantics\semantic_mapper.py; submission\infrastructure\ultimate_pipeline\tools\verify_final_xodr.py; submission\infrastructure\ultimate_pipeline\visualization\cross_section_visualizer.py; ultimate_pipeline\carla_tools\actor_stream_manager.py; ultimate_pipeline\contracts\release_profile.py; ultimate_pipeline\domain_gap_gnn\graph_builder.py; ultimate_pipeline\enrichment\semantic_partition.py; ultimate_pipeline\enrichment\sidewalk_builder.py; ultimate_pipeline\enrichment\street_furniture_rules.py; ultimate_pipeline\lanes\lane_repair.py; ultimate_pipeline\main_pipeline.py; ultimate_pipeline\pipeline_stages\stage_07_lanes.py; ultimate_pipeline\quality\check_physics_feasibility.py; ultimate_pipeline\quality\check_semantic_overlap.py; ultimate_pipeline\quality\lane_width_invariants.py; ultimate_pipeline\semantics\semantic_mapper.py; ultimate_pipeline\tests\unit\test_topology_validation.py; ultimate_pipeline\tools\phase_g1_lane_inventory.py; ultimate_pipeline\tools\phase_g3_cross_section.py; ultimate_pipeline\tools\phase_g4_lane_continuity.py; ultimate_pipeline\tools\phase_g5_lane_classification.py; ultimate_pipeline\tools\phase_g6_junction_lanelinks.py; ultimate_pipeline\tools\phase_m_mandatory_tests.py; ultimate_pipeline\tools\verify_final_xodr.py; ultimate_pipeline\visualization\cross_section_visualizer.py
provenance_userdata,REUSE_UNCHANGED,submission\infrastructure\ultimate_pipeline\config\settings.py; submission\infrastructure\ultimate_pipeline\enrichment\sidewalk_builder.py; submission\infrastructure\ultimate_pipeline\enrichment\turn_lanes_writer.py; submission\infrastructure\ultimate_pipeline\lanes\markings_builder.py; submission\infrastructure\ultimate_pipeline\quality\road_classification_gap.py; submission\infrastructure\ultimate_pipeline\run_full_domain_gap.py; submission\infrastructure\ultimate_pipeline\tests\unit\test_osm_meta_index.py; submission\infrastructure\ultimate_pipeline\tools\run_perception_safe.py; ultimate_pipeline\config\settings.py; ultimate_pipeline\contracts\coordinate_contract.py; ultimate_pipeline\enrichment\sidewalk_builder.py; ultimate_pipeline\enrichment\turn_lanes_writer.py; ultimate_pipeline\lanes\markings_builder.py; ultimate_pipeline\quality\road_classification_gap.py; ultimate_pipeline\run_full_domain_gap.py; ultimate_pipeline\signals\signal_enrichment.py; ultimate_pipeline\tests\unit\test_osm_meta_index.py; ultimate_pipeline\tests\unit\test_p08_signal_enrichment.py; ultimate_pipeline\tools\phase_h0_osm_signal_extract.py; ultimate_pipeline\tools\phase_h2_signal_writer.py; ultimate_pipeline\tools\phase_h3_signal_integrity.py; ultimate_pipeline\tools\phase_h_signal_enrichment.py; ultimate_pipeline\tools\phase_i_tiling_strategy.py; ultimate_pipeline\tools\run_perception_safe.py
